date,pollster,unsure,fidesz,tisza,dk_mszp_p,mihazank,mkkp,momentum,url
2023-09-08,IDEA,0.35,0.27,0.0,0.14,0.07,0.05,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/111/2023-szeptember--a-2022--aprilisi-3-a-ota-a-legalacsonyabb-mert-fidesz---kdnp-tamogatottsag-
2023-08-29,21 Kutató,0.31,0.28,0.0,0.13,0.07,0.05,0.06,https://21kutatokozpont.hu/wp-content/uploads/2021/11/eredmenyek_partpref.pdf
2023-08-23,Republikon,0.28,0.3,0.0,0.17,0.07,0.05,0.07,"http://republikon.hu/elemzesek,-kutatasok/23-09-08-havi-kutatas.aspx"
2023-08-09,IDEA,0.38,0.27,0.0,0.15,0.06,0.04,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/108/az-iden-eloszor-csokkent-a-fidesz-kdnp-tamogatottsaga------2023--augusztus
2023-07-25,Republikon,0.28,0.31,0.0,0.19,0.06,0.04,0.06,http://republikon.hu/media/125267/202307_partpreferencia-prezentacio.pdf
2023-07-19,IDEA,0.34,0.3,0.0,0.15,0.06,0.05,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/104/partpreferenciak--tartos-es-stabil-tamogatottsaggal-a-hata-mogott-nyaral-a-fidesz------2023-06-07-
2023-11-30,21 Kutató,0.26,0.33,0.0,0.13,0.07,0.05,0.04,https://24.hu/belfold/2024/03/01/21-kutatokozpont-fidesz-kegyelmi-ugy-ellenzek-ep-valasztas/
2023-06-23,Republikon,0.27,0.33,0.0,0.18,0.05,0.05,0.06,"http://republikon.hu/elemzesek,-kutatasok/23-06-28-kvk.aspx"
2023-06-10,IDEA,0.34,0.3,0.0,0.15,0.06,0.05,0.06,http://www.ideaintezet.hu/hu/hirek-aktualis/101/partpreferenciak--rendkivul-tartos-es-stabil-tamogatottsaggal-kezdi-a-fidesz-a-nyarat-----2023--junius
2023-05-31,Medián,0.29,0.32,0.0,0.11,0.06,0.08,0.05,https://hvg.hu/360/20230615_hvg_median_kozvelemeny_kutatas_fidesz_ellenzek_gazdasagi_valsag_EU
2023-06-30,Iránytű,0.28,0.35,0.0,0.11,0.06,0.07,0.06,https://www.facebook.com/iranytuintezet/posts/pfbid0D1846aiZk4px5EdkcbGRjxvoKQXXoJm8xQ3YjaeA8bJjSMZgkrR8Q8u5pAv6Ka2Tl
2023-05-19,IDEA,0.35,0.3,0.0,0.15,0.06,0.05,0.05,http://ideaintezet.hu/hu/hirek-aktualis/100/negy-eve-majdnem-ugyanigy-allt-a-fidesz------2023--majus
2023-05-05,ZRI,0.31,0.32,0.0,0.18,0.05,0.02,0.05,https://telex.hu/belfold/2023/05/17/zavecz-kutatas-europai-parlament-valasztas-partok
2023-05-05,ZRI,0.28,0.32,0.0,0.18,0.06,0.03,0.05,https://telex.hu/belfold/2023/05/10/zavecz-research-partpreferencia-fidesz-dk-mi-hazank-momentum-jobbik
